"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"22","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.204,-127.93
"23","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.4796,-188.48
"24","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2223,-198.24
"25","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.2007,460.94
"26","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.9484,121.09
"27","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0912999999999999,31.25
"28","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1545,-12.695
"29","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.0170999999999999,521.48
"30","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.4895,473.63
"31","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1494,-149.41
"32","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3706,331.05
"33","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0128999999999999,131.84
"34","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1875,381.84
"35","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.4444,-106.45
"36","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.4019,224.61
"37","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1048,-129.88
"38","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.0507999999999997,-97.656
"39","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2515,56.641
"40","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.2059,-82.031
"41","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1229,80.078
