"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"1900","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,3.2033,155.27
"1901","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,1.7826,355.47
"1902","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.9691,16.602
"1903","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.7602,252.93
"1904","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.2801,537.11
"1905","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,3.1703,465.82
"1906","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,3.087,245.12
"1907","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.3112,150.39
"1908","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.4348,-195.31
"1909","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.477,-38.086
"1910","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.2272,163.09
"1911","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,1.7898,-71.289
"1912","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.1137,148.44
"1913","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,1.9024,452.15
"1914","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.5802,459.96
"1915","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.1397,207.03
"1916","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.434,-39.063
"1917","P7",23,-126.09,0.52808,-2.20068565383965,-0.426737596055039,-0.311068337368441,2.6909,-44.922
"1918","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.4146,-9.7656
"1919","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.0531,502.93
"1920","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.4251,126.95
"1921","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.0827,496.09
"1922","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.5333,86.914
"1923","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.0615,387.7
"1924","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.425,-42.969
